1stFlrSF,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
1422,No,588,Unf,606,576,Fin,1981.0,1422,Gd,12090,0,6,6,1422,1981,1981,175500
1632,Av,0,Unf,1632,576,Unf,1967.0,1632,TA,25000,0,4,5,1632,1967,1967,143000
1630,No,0,Unf,1630,451,Unf,2000.0,1630,Gd,9750,234,5,7,1630,2000,2001,213000
1013,No,0,Unf,1013,0,None,1979.0,1526,Fa,8470,0,2,3,1013,1915,1982,85000
1040,None,0,None,0,420,Unf,1956.0,1040,TA,7200,0,5,4,0,1949,1950,90000
841,No,0,Unf,806,216,Unf,1920.0,1647,Fa,6858,66,4,6,806,1915,1950,128000
1328,No,622,BLQ,500,576,Unf,1981.0,1981,Gd,7804,44,3,4,1122,1928,1950,135000
1644,No,1285,GLQ,131,418,Fin,1953.0,1644,TA,9600,0,5,6,1416,1953,1953,167000
1482,No,0,Unf,1482,868,Fin,2007.0,2574,Ex,9588,148,5,8,1482,2007,2007,276000
1060,No,0,Unf,764,520,Unf,1940.0,1824,TA,13515,0,6,6,764,1919,1950,180500
1350,Gd,624,GLQ,288,520,RFn,1964.0,1350,TA,9020,0,5,6,1248,1964,1964,168500
958,No,958,LwQ,0,440,RFn,1976.0,958,TA,4928,60,6,6,958,1976,1976,143750
1053,No,0,Unf,833,370,Unf,1922.0,1848,Gd,13053,0,7,6,833,1923,2000,207000
1620,No,1116,BLQ,165,490,Unf,1993.0,1620,TA,9991,78,4,4,1281,1976,1993,150000
1167,No,560,GLQ,598,400,RFn,1992.0,1167,Gd,9248,26,6,6,1158,1992,1992,173000
798,No,94,LwQ,641,220,Unf,1949.0,1487,TA,8741,140,4,6,735,1945,1950,113000
892,No,432,BLQ,460,288,RFn,1967.0,892,TA,7150,0,5,5,892,1967,1967,100000
804,No,510,BLQ,278,240,Unf,1940.0,804,Gd,7200,0,7,5,788,1940,1992,119000
1140,No,0,Unf,1140,0,None,1979.0,1140,TA,17217,56,5,5,1140,2006,2006,84500
983,No,400,BLQ,380,483,RFn,1963.0,1796,TA,7056,50,5,6,780,1963,1963,140000
1118,No,156,LwQ,692,551,Fin,1976.0,2030,Gd,12046,224,6,6,848,1976,1976,195000
1026,Av,765,GLQ,252,812,Unf,2008.0,2007,Ex,11003,52,5,10,1017,2008,2008,310000
691,No,0,Unf,691,216,Unf,1920.0,691,Ex,5400,20,6,5,691,1920,1950,86000
786,No,0,Unf,768,676,RFn,2008.0,1590,Gd,9000,30,5,8,768,2008,2008,210000
1216,No,444,Rec,550,325,Unf,1954.0,1855,TA,9525,0,4,6,994,1954,1972,136900
1028,No,0,Unf,994,442,Fin,1999.0,1804,Gd,7500,60,5,7,994,1999,1999,189000
884,No,550,GLQ,334,543,Unf,2003.0,1768,Gd,8158,63,5,7,884,2003,2003,224900
1831,Gd,1387,GLQ,543,807,Fin,1995.0,3627,Gd,35760,76,5,10,1930,1995,1996,625000
1298,No,1258,GLQ,40,403,Unf,1985.0,1298,Gd,11200,26,5,6,1298,1985,1985,180000
1801,No,1247,ALQ,254,484,Fin,1959.0,1801,TA,15602,54,8,7,1501,1959,1997,289000
630,Av,553,GLQ,77,0,None,1979.0,630,Ex,1533,0,7,5,630,1970,1970,92000
1103,No,397,BLQ,706,440,Unf,1976.0,1103,Gd,6000,120,6,6,1103,1925,1980,110500
859,Mn,0,Unf,859,384,RFn,1964.0,1178,TA,8712,0,7,4,859,1900,1950,102776
1196,No,197,LwQ,999,440,Unf,1957.0,1196,TA,4800,0,7,4,1196,1916,1990,109900
1372,No,0,Unf,1372,529,Fin,2008.0,1372,Gd,8640,140,5,7,1372,2007,2008,250580
1431,Gd,371,GLQ,728,296,RFn,1962.0,1431,TA,9150,110,5,6,1099,1962,1962,165000
1422,Av,0,Unf,1422,626,RFn,2004.0,1422,Gd,8500,60,5,7,1422,2004,2004,179600
1079,Av,985,GLQ,595,501,Fin,1992.0,1953,Gd,53107,231,5,6,1580,1992,1992,240000
1121,No,0,Unf,1121,440,RFn,2003.0,1121,TA,8546,64,5,4,1121,2003,2004,140000
1143,Av,0,Unf,1143,852,Unf,2004.0,2473,Gd,9591,151,5,8,1143,2004,2005,317000
1057,No,417,Rec,640,576,Fin,1977.0,1057,TA,7420,0,5,5,1057,1962,1962,132000
1110,Av,1097,GLQ,0,602,Fin,1978.0,1110,Gd,9101,30,6,5,1097,1978,1978,165500
1164,No,524,GLQ,628,671,Fin,1999.0,2270,Gd,11764,57,7,8,1152,1999,2007,290000
2018,Gd,0,Unf,2002,746,Fin,2009.0,2018,Ex,13214,76,5,9,2002,2008,2009,378500
672,Mn,438,Rec,234,440,Fin,1978.0,1386,TA,11616,0,5,6,672,1978,1978,158900
1082,Mn,0,Unf,1082,1043,RFn,2005.0,1953,Gd,10574,50,5,8,1082,2005,2006,252000
1337,No,733,GLQ,604,462,RFn,1993.0,1337,Gd,5395,0,5,8,1337,1993,1993,180000
997,No,0,Unf,969,648,Fin,2000.0,2285,Gd,11000,56,5,8,969,2000,2000,248000
1718,Gd,1288,GLQ,417,826,RFn,2007.0,1718,Gd,10637,44,5,8,1705,2007,2008,297000
1086,Av,516,ALQ,380,484,RFn,1966.0,1086,TA,13400,0,5,5,1024,1966,1966,159950
1555,No,0,Unf,1373,660,Fin,2007.0,1555,Gd,3684,20,5,7,1373,2007,2007,174000
1902,Av,1406,GLQ,496,567,Fin,1959.0,1902,Ex,17500,207,8,7,1902,1959,2002,335000
1298,No,1216,LwQ,0,693,Fin,1990.0,2514,TA,11170,0,5,7,1216,1990,1991,250000
1224,Av,1086,GLQ,0,528,Unf,1979.0,1224,TA,7018,0,5,5,1086,1979,1979,153337
1054,No,602,ALQ,14,460,Unf,1969.0,1054,TA,9750,0,8,6,1054,1969,1969,151000
1276,No,854,GLQ,371,676,Fin,1998.0,2612,Gd,12203,0,5,8,1225,1998,1999,336000
902,No,599,GLQ,277,288,Unf,1967.0,902,TA,6173,0,6,5,876,1967,1967,125500
1153,No,692,GLQ,153,484,RFn,1983.0,2353,Ex,13005,195,7,7,845,1980,1980,260000
689,No,378,GLQ,311,299,Fin,1977.0,1392,TA,10900,36,7,6,689,1977,1977,161750
1155,Av,899,ALQ,210,576,Unf,1987.0,1155,Gd,11782,0,7,5,1109,1961,1995,148000
1136,No,180,Rec,676,240,Unf,1950.0,1904,TA,7200,0,4,5,1208,1950,1982,138000
950,No,0,Unf,862,208,RFn,1929.0,1158,TA,6000,0,7,6,862,1929,1950,120000
751,Mn,0,Unf,611,502,Fin,1920.0,1362,TA,6155,0,8,6,611,1920,1999,128000
1005,No,0,Unf,975,429,Fin,1999.0,2291,Gd,8738,0,5,7,975,1999,1999,230000
649,No,0,Unf,649,250,Unf,1920.0,1317,TA,8500,54,4,4,649,1920,1950,40000
1734,No,1004,GLQ,730,928,Unf,2007.0,1734,Ex,12085,0,5,8,1734,2007,2007,318000
1194,No,0,Unf,1194,312,RFn,1959.0,1194,TA,8760,0,6,6,1194,1959,1959,148000
876,Mn,0,Unf,876,720,Unf,1949.0,1416,TA,12665,0,8,5,876,1915,1950,153900
1383,Mn,1064,BLQ,319,354,Unf,1954.0,1383,TA,13284,116,5,5,1383,1954,1954,165000
1001,No,284,BLQ,717,871,Unf,1949.0,2002,TA,6270,0,6,5,1001,1949,1950,145000
1496,Av,0,Unf,1496,474,Unf,2007.0,1496,Gd,9158,130,5,8,1496,2007,2007,225000
984,No,408,Unf,156,660,Unf,1977.0,1604,TA,10998,68,5,5,984,1941,1960,117000
764,No,0,Unf,680,504,Unf,1965.0,764,TA,5232,0,5,5,680,1925,2004,73000
977,No,0,Unf,741,476,Fin,1985.0,1732,Gd,9206,46,5,6,741,1985,1985,178000
1494,Av,0,Unf,1494,840,RFn,2006.0,1494,Gd,10652,33,5,7,1494,2006,2007,279500
986,No,0,Unf,960,180,Unf,1926.0,986,TA,6180,128,5,6,960,1926,1950,102000
1145,No,16,GLQ,1129,397,Fin,2005.0,1145,Gd,3182,16,5,7,1145,2005,2006,160200
742,No,0,Unf,742,0,None,1979.0,1484,TA,6300,291,6,6,742,1914,2001,128000
1344,No,111,GLQ,354,525,RFn,1958.0,1344,Gd,14375,118,6,6,819,1958,1958,137500
958,No,0,Unf,650,686,Unf,1983.0,1539,Gd,10440,78,8,5,650,1904,2002,157500
1134,No,0,Unf,1122,656,Fin,2005.0,2504,Ex,11198,39,5,9,1122,2005,2007,325000
747,Mn,0,Unf,600,528,Unf,1953.0,747,TA,5825,0,5,4,600,1926,1953,79900
1108,Av,975,GLQ,133,583,RFn,1998.0,2097,Gd,9750,170,6,7,1108,1998,1998,274300
3138,Gd,2260,GLQ,878,884,Fin,2007.0,4676,Ex,40094,406,5,10,3138,2007,2008,184750
786,No,0,Unf,698,624,Unf,1999.0,1176,TA,6000,0,9,6,698,1937,2000,134900
720,No,495,Rec,225,0,None,1979.0,720,TA,7879,523,5,4,720,1920,1950,34900
1580,No,0,Unf,1580,830,RFn,2008.0,1580,Gd,11932,24,5,8,1580,2007,2008,235128
1440,Gd,1440,Unf,0,0,None,1979.0,1440,TA,7711,0,3,4,1440,1977,1977,150000
738,No,193,GLQ,545,540,Fin,2005.0,1476,Gd,8633,35,5,6,738,2005,2005,173500
1500,Av,20,GLQ,1480,570,RFn,2004.0,1500,Gd,8487,36,5,7,1500,2004,2004,190000
884,No,0,Unf,884,216,Unf,1960.0,1348,TA,6000,0,8,5,884,1925,1997,117000
1200,Mn,661,GLQ,203,884,Unf,1977.0,1200,Gd,9230,64,8,5,864,1965,1998,146000
1394,No,609,BLQ,785,514,RFn,1963.0,1394,TA,9500,76,5,6,1394,1963,1963,159000
800,No,400,GLQ,336,484,Unf,1966.0,1632,Gd,9130,40,8,6,800,1966,2000,173000
912,No,842,ALQ,70,336,Unf,1974.0,912,TA,8521,0,5,5,912,1967,1967,125000
1370,No,1128,BLQ,242,864,Unf,1918.0,2624,TA,22420,0,6,6,1370,1918,1950,239000
1696,No,0,Unf,1140,349,Unf,1962.0,1696,TA,13673,30,5,5,1140,1962,1962,143900
682,No,0,Unf,440,440,Unf,1966.0,1230,TA,10440,0,6,5,440,1910,1981,110000
1549,No,297,Rec,556,440,Unf,1932.0,2727,Gd,10570,74,8,8,853,1932,1994,315000
728,No,0,Unf,728,429,RFn,2006.0,1456,TA,15578,0,5,6,728,2006,2006,172785
864,No,375,Unf,250,660,Unf,1989.0,864,Gd,6960,0,6,4,864,1970,1970,120500
970,No,0,Unf,970,380,Unf,2004.0,1709,Gd,2522,40,5,6,970,2004,2006,130000
810,No,643,GLQ,167,528,Fin,2001.0,1665,Gd,8400,45,6,8,810,2001,2001,227000
1372,Gd,987,GLQ,360,656,RFn,1993.0,2646,Gd,9900,60,5,7,1347,1993,1993,260000
798,No,0,Unf,798,595,RFn,2003.0,1640,Gd,7226,45,5,7,798,2003,2003,183000
1014,Mn,440,BLQ,538,420,Unf,1920.0,1699,TA,10615,74,5,3,978,1900,1970,95000
1663,Gd,1116,BLQ,248,529,Unf,1954.0,1663,Gd,53227,137,6,4,1364,1954,1994,256000
1728,No,1332,Rec,396,504,Unf,1963.0,1728,TA,9100,0,5,5,1728,1963,1963,125000
1055,No,0,Unf,1055,462,RFn,1992.0,1845,Gd,11218,104,5,6,1055,1992,1992,189000
1020,Gd,536,BLQ,169,440,RFn,1964.0,1851,Gd,9760,42,8,6,822,1964,1993,187000
1489,No,0,Unf,1489,776,RFn,2006.0,1489,Gd,11216,140,5,8,1489,2006,2006,232600
864,No,612,Rec,252,300,Unf,2008.0,864,TA,9100,0,6,6,864,1959,1959,127500
1256,No,830,BLQ,136,276,Fin,1965.0,1256,TA,9937,68,6,5,1256,1965,1965,147500
816,No,816,Unf,0,816,Fin,1985.0,816,TA,6600,0,8,5,816,1982,2003,138000
902,Gd,454,ALQ,410,492,Unf,1965.0,1820,Gd,13700,84,6,7,864,1965,1988,201800
912,Mn,48,BLQ,422,833,RFn,1991.0,2127,Gd,13125,192,5,7,1104,1991,1991,238000
1065,No,0,Unf,1065,461,Unf,1974.0,1065,TA,8892,0,5,5,1065,1960,1960,126500
1200,No,0,Unf,1200,312,Unf,1923.0,1200,TA,11340,0,5,6,1200,1923,1950,125000
1208,Av,686,GLQ,501,632,RFn,2006.0,1208,Gd,6762,61,5,7,1187,2006,2006,206000
1133,Gd,0,Unf,1094,642,Fin,2005.0,2482,Gd,12665,39,5,8,1094,2005,2006,281213
1720,No,919,GLQ,801,527,Fin,1996.0,1720,Gd,10593,56,5,7,1720,1996,1996,260400
840,No,116,LwQ,556,0,None,1979.0,840,TA,4388,0,7,5,672,1930,1950,87000
1294,No,1200,GLQ,78,496,Unf,1991.0,1294,Gd,7153,51,5,6,1278,1991,1991,179200
1090,No,980,ALQ,110,450,Fin,2005.0,1090,TA,7024,49,5,5,1090,2005,2006,157000
1165,No,0,Unf,1141,420,Fin,1998.0,2263,Gd,12090,123,5,8,1141,1998,1998,258000
969,Av,716,BLQ,253,440,Unf,1975.0,969,TA,10356,0,6,5,969,1975,1975,122000
894,No,0,Unf,894,1248,RFn,1994.0,894,TA,18000,20,4,3,894,1935,1950,81000
1028,No,0,Unf,1008,360,Unf,1927.0,1028,TA,8960,0,6,5,1008,1927,1950,115000
979,No,484,Rec,495,492,Unf,1946.0,1958,TA,7136,0,6,6,979,1946,1950,145000
1795,Av,0,Unf,1795,895,RFn,2007.0,1795,Gd,9986,49,5,8,1795,2006,2007,147000
1940,Av,1646,GLQ,284,606,Fin,2010.0,1940,Ex,10159,95,5,9,1930,2009,2010,395192
1178,No,1084,BLQ,92,439,Unf,1973.0,1178,Gd,10000,0,6,5,1176,1973,2000,157000
810,No,156,BLQ,516,400,Unf,1934.0,1482,Fa,12155,0,8,6,672,1925,1950,140000
1428,No,0,Unf,1417,554,RFn,2008.0,1428,Ex,12274,60,5,7,1417,2008,2008,227680
864,Av,460,BLQ,404,338,Unf,1972.0,864,TA,15523,0,6,5,864,1972,1972,133500
616,Mn,236,LwQ,0,200,Unf,1941.0,1111,TA,9084,0,6,5,616,1941,1950,95000
680,No,310,Unf,370,420,Fin,1993.0,1470,TA,9765,63,8,6,680,1993,1993,185000
1116,No,0,Unf,1116,440,Unf,1962.0,1116,TA,10000,0,6,6,1116,1962,1962,160000
864,No,414,Unf,450,288,Unf,1959.0,864,Gd,7332,0,6,6,864,1959,1959,120000
1297,No,1213,Rec,84,498,Fin,1954.0,1297,TA,8532,0,6,5,1297,1954,1990,153000
1113,No,607,ALQ,506,264,Unf,1950.0,1113,Gd,9600,80,7,5,1113,1950,2007,147000
1501,Gd,679,GLQ,811,577,RFn,1999.0,1501,Gd,10335,29,5,7,1490,1999,1999,204000
764,Mn,24,GLQ,732,614,Unf,2009.0,1547,Gd,8640,45,5,7,756,2009,2009,215200
991,No,222,GLQ,769,678,RFn,2004.0,1947,Gd,12552,136,5,7,991,2004,2005,254900
1717,Av,0,Unf,1709,908,RFn,2006.0,1717,Gd,11146,39,5,8,1709,2006,2006,255500
1052,Av,504,Unf,506,440,Unf,1971.0,1052,TA,8816,0,7,6,1010,1971,1971,155000
1127,Av,862,Unf,255,455,Unf,1997.0,2013,TA,9920,130,5,7,1117,1996,1997,269790
1266,Av,0,Unf,1266,388,Fin,2007.0,1266,Gd,3182,16,5,7,1266,2007,2007,159895
1992,Av,240,GLQ,1752,716,Fin,2005.0,2868,Ex,16056,108,5,9,1992,2005,2006,556581
980,No,300,GLQ,652,554,Fin,2000.0,2256,Gd,8795,54,5,7,952,2000,2000,236000
1414,Av,24,GLQ,1390,494,RFn,2004.0,1414,Gd,8773,105,5,7,1414,2004,2004,185500
936,No,814,GLQ,114,471,Unf,1994.0,1721,Gd,8462,87,5,6,928,1994,1994,201000
811,No,550,ALQ,163,434,RFn,1975.0,1552,TA,11475,208,6,6,713,1975,1975,179900
698,No,0,Unf,698,528,RFn,1980.0,1128,TA,7500,0,4,4,698,1920,1950,68400
1118,Av,522,ALQ,574,358,Fin,1977.0,1118,TA,9880,0,6,6,1096,1977,1977,171000
1728,Gd,936,Rec,396,574,Unf,1976.0,1728,TA,12640,0,5,6,1728,1976,1976,150900
1686,No,1361,GLQ,88,711,RFn,1994.0,2448,Gd,46589,76,7,8,1629,1994,2005,402000
1473,Gd,1324,GLQ,113,452,Unf,1968.0,1473,Ex,25095,48,8,5,1437,1968,2003,143000
1187,Mn,902,LwQ,254,400,RFn,1990.0,1717,Gd,13758,36,5,7,1156,1990,1991,187500
1166,Gd,655,GLQ,201,400,Fin,2005.0,1166,Gd,9587,0,5,7,856,2005,2005,190000
1370,Mn,24,GLQ,1346,484,RFn,2006.0,1370,Gd,6442,49,5,8,1370,2006,2006,202500
1724,Av,528,ALQ,1152,480,RFn,1967.0,1724,TA,17871,0,5,6,1680,1967,1976,197900
970,No,0,Unf,970,380,Unf,2004.0,1709,Gd,2522,40,5,7,970,2004,2004,130000
483,No,358,ALQ,125,264,Unf,1971.0,987,TA,1680,0,3,6,483,1971,1971,89500
901,No,352,LwQ,441,216,Unf,1920.0,1802,TA,7588,0,6,7,793,1920,1950,200100
1170,No,503,Rec,449,360,Unf,1932.0,2345,TA,16560,0,8,6,952,1932,1950,239000
1068,No,663,GLQ,396,264,RFn,1963.0,1068,TA,8414,0,8,6,1059,1963,2003,154500
1617,No,165,LwQ,598,533,Unf,1993.0,1617,Gd,8012,69,5,6,1604,1993,1994,193000
1244,No,777,Rec,467,336,Unf,1957.0,1244,TA,11988,40,6,6,1244,1957,1957,150000
1180,No,0,Unf,700,252,Unf,1922.0,1180,Fa,11600,0,5,4,700,1922,1950,137500
520,No,0,Unf,600,480,RFn,2005.0,1223,Gd,2544,166,5,7,600,2005,2005,147400
1686,No,625,BLQ,0,612,Unf,1980.0,1686,TA,10240,131,6,6,1686,1980,1980,207500
1646,Gd,1513,GLQ,125,800,RFn,2008.0,1646,Gd,9520,44,5,8,1638,2007,2008,293077
1144,No,594,BLQ,270,264,RFn,1961.0,1144,TA,10000,0,6,5,864,1961,1983,131400
939,Av,0,Unf,939,639,Unf,2006.0,1797,Gd,9245,53,5,7,939,2006,2006,213500
1224,None,0,None,0,462,Unf,1962.0,1224,TA,9842,0,5,4,0,1962,1962,101800
992,No,735,GLQ,257,839,Unf,2000.0,1865,Gd,10316,184,5,7,992,2000,2000,235000
1056,No,846,Rec,210,308,RFn,1958.0,1056,TA,8176,0,6,5,1056,1958,1992,139000
1966,No,0,Unf,1926,820,Fin,2009.0,3140,Ex,13518,78,5,9,1926,2008,2009,485000
1212,Av,506,ALQ,0,492,Unf,1978.0,1212,TA,8471,12,7,6,506,1977,1995,151000
1694,Av,1369,GLQ,317,636,RFn,2004.0,1694,Gd,10084,57,5,8,1686,2004,2005,307000
802,Av,714,GLQ,88,413,Fin,1997.0,1511,TA,11207,75,5,6,802,1997,1997,185000
1057,No,731,GLQ,326,246,Unf,1953.0,1057,Gd,7922,52,7,5,1057,1953,2007,109000
1246,No,0,Unf,777,560,Unf,1971.0,2290,TA,11340,0,6,4,777,1885,1950,122500
1377,No,1002,GLQ,0,786,Unf,1988.0,2183,Gd,13837,0,5,7,1204,1988,1988,229000
1699,Mn,1470,GLQ,203,594,Unf,1990.0,3222,Gd,12376,0,5,7,1673,1990,1990,320000
909,No,0,Unf,880,512,RFn,1996.0,1716,Gd,8750,120,5,7,880,1996,1996,191000
1342,No,251,Rec,491,457,Unf,1967.0,1342,TA,9790,0,5,6,1372,1967,1967,161500
1504,No,16,GLQ,1330,437,Fin,2005.0,1504,Gd,3182,20,5,7,1346,2005,2006,191000
1053,No,0,Unf,1053,648,RFn,2003.0,1992,Gd,9375,45,5,8,1053,2003,2004,250000
624,No,510,BLQ,90,462,Unf,1999.0,1252,Gd,2160,48,5,7,600,1999,2000,160000
999,No,588,ALQ,411,264,Unf,1963.0,999,Gd,7758,132,7,5,999,1962,2001,132500
741,No,0,Unf,622,528,Unf,1966.0,1363,TA,7740,0,7,4,622,1910,1950,125500
1165,Gd,312,Rec,276,490,RFn,1966.0,1165,TA,9020,129,7,6,1127,1966,1966,174900
1668,Av,1059,GLQ,567,702,Unf,2002.0,1668,Gd,11248,45,5,9,1626,2002,2002,285000
1158,Av,0,Unf,1158,853,RFn,2005.0,2376,Gd,14215,154,5,8,1158,2005,2006,325300
889,No,0,Unf,540,352,Unf,1940.0,1440,TA,5000,0,4,5,540,1900,1950,79000
794,Av,182,GLQ,612,388,Fin,1997.0,1470,TA,13869,75,6,6,794,1997,1997,177000
1541,Mn,1201,Unf,340,532,Unf,2005.0,1541,Gd,12182,70,5,7,1541,2005,2005,220000
1440,No,133,ALQ,1307,0,None,1979.0,1440,Fa,12108,0,4,4,1440,1955,1955,118000
1146,Av,786,GLQ,82,438,Unf,2003.0,1146,Gd,9590,22,5,7,868,2003,2003,187500
1494,Av,437,LwQ,0,481,Fin,1995.0,1494,Ex,9549,30,5,8,1494,1995,1996,270000
1462,No,1170,GLQ,292,738,Fin,2004.0,2224,Ex,8834,0,5,9,1462,2004,2005,350000
820,No,0,Unf,731,186,Unf,1921.0,1343,TA,7681,0,6,5,731,1921,1950,154900
1210,No,281,Unf,747,683,Fin,1998.0,2452,Gd,16226,50,5,8,1028,1998,1999,267000
1127,No,442,Rec,374,540,RFn,1964.0,1977,TA,9500,52,6,6,816,1964,1978,165000
1064,No,495,GLQ,354,504,RFn,1987.0,1767,Gd,5306,35,7,7,1064,1987,1987,239000
1324,No,863,GLQ,461,550,Fin,2006.0,1324,Gd,6240,38,5,8,1324,2006,2006,254000
912,No,0,Unf,912,330,Unf,1948.0,1458,TA,17503,0,5,6,912,1948,1950,97500
1314,No,24,GLQ,1290,440,RFn,2006.0,1314,Gd,9317,22,5,6,1314,2006,2006,176432
1575,No,430,GLQ,1145,529,RFn,1992.0,1575,Gd,8012,0,5,6,1575,1992,1992,179200
1620,Gd,1022,GLQ,598,912,Fin,2008.0,1620,Ex,12898,0,5,9,1620,2007,2008,315500
1104,Av,0,Unf,1104,304,Unf,1957.0,1788,TA,11250,0,5,4,1104,1957,1989,161500
913,Gd,187,LwQ,0,240,Unf,1990.0,913,TA,8400,0,5,6,814,1966,1966,129000
2073,No,790,ALQ,589,500,Unf,1978.0,2073,TA,13175,0,6,6,1542,1978,1988,210000
764,No,0,Unf,776,492,Unf,1999.0,1441,Gd,2645,0,5,8,776,1999,2000,174000
815,No,0,Unf,815,225,Unf,1916.0,1690,TA,8850,0,6,7,815,1916,1950,144000
1437,No,988,Rec,200,576,Unf,1999.0,1437,TA,14175,0,6,5,1188,1956,1987,168000
2156,No,297,BLQ,1203,508,RFn,1968.0,2156,TA,20781,80,7,7,1568,1968,2003,262500
864,No,468,Rec,396,0,None,1979.0,864,TA,5604,0,6,5,864,1925,1950,98000
536,No,129,Rec,175,336,Unf,1976.0,1112,TA,2592,0,3,5,536,1976,1976,85000
1122,No,700,ALQ,0,746,RFn,1990.0,2243,Gd,13474,44,5,7,700,1990,1991,225000
810,No,0,Unf,686,210,Unf,1940.0,1328,TA,9906,172,4,4,686,1925,1950,107000
968,No,0,Unf,656,216,Unf,1928.0,968,TA,10800,0,6,4,656,1927,2007,64500
698,No,0,Unf,698,384,Unf,2003.0,1396,TA,8730,0,7,6,698,1915,2003,153575
1856,Av,1445,GLQ,411,834,Fin,2010.0,1856,Ex,11394,0,2,9,1856,2010,2010,394432
1610,No,1288,GLQ,294,789,Fin,2007.0,2161,Ex,10562,120,5,8,1582,2007,2007,325624
1602,No,1246,ALQ,356,529,Fin,1977.0,1602,Gd,16635,0,7,6,1602,1977,2000,215000
630,No,0,Unf,630,280,Unf,1991.0,1302,TA,1680,0,5,5,630,1971,1971,112000
807,No,457,GLQ,326,393,Fin,2002.0,1509,Gd,7861,75,5,6,783,2002,2003,183200
912,No,737,ALQ,175,352,Unf,1962.0,912,TA,12968,0,6,5,912,1962,1962,144000
1004,No,399,ALQ,605,420,Unf,1950.0,1664,TA,5000,24,7,6,1004,1947,1950,159000
1390,No,423,Rec,758,576,Unf,1925.0,1694,TA,8400,0,5,6,1181,1925,1950,136500
747,No,0,Unf,747,220,Unf,1945.0,747,TA,4608,0,6,4,747,1945,1950,80000
1040,None,0,Unf,0,420,Unf,1950.0,1040,TA,7200,29,5,4,0,1950,1950,109900
831,No,0,Unf,831,493,RFn,2002.0,1660,Gd,8935,68,5,7,831,2002,2002,195000
1026,No,218,LwQ,808,308,Unf,1924.0,1691,Gd,5000,0,6,5,1026,1924,1950,127000
864,No,398,ALQ,317,720,RFn,1980.0,864,Gd,7200,0,8,5,864,1950,2002,129000
752,No,623,ALQ,0,264,Unf,1984.0,752,TA,7175,0,5,6,744,1984,1984,125000
963,No,361,GLQ,602,564,RFn,2001.0,1792,Gd,12435,96,5,7,963,2001,2001,231500
764,No,0,Unf,764,474,RFn,2003.0,1626,Gd,2628,27,5,7,764,2003,2003,175500
1484,Av,428,GLQ,1048,472,RFn,2006.0,1484,Ex,9037,33,5,8,1476,2006,2006,265900
1675,No,0,Unf,1470,870,Unf,2003.0,3493,Gd,18386,0,9,7,1470,1880,2002,295000
1652,No,1572,GLQ,80,840,Fin,2006.0,1652,Ex,13173,102,5,9,1652,2006,2007,325000
1276,No,0,Unf,1276,350,Unf,1958.0,1276,TA,9571,0,3,5,1276,1958,1958,60000
1112,No,120,BLQ,736,271,Unf,1950.0,1668,TA,9600,0,8,6,856,1950,2005,140000
720,No,0,Unf,720,0,None,1979.0,1192,TA,10800,0,4,4,720,1949,1950,135000
884,Av,747,ALQ,0,504,RFn,1983.0,884,Gd,9180,0,7,5,840,1983,1983,144000
1180,Gd,1065,GLQ,92,454,Unf,1988.0,2062,TA,14364,55,5,7,1157,1988,1989,277000
827,None,0,None,0,392,Unf,1967.0,827,TA,7200,0,7,5,0,1955,2007,107500
1136,No,0,Unf,728,532,Unf,1997.0,2019,Gd,11414,135,8,7,728,1910,1993,167500
616,Mn,0,Unf,264,336,Fin,1976.0,1304,TA,2665,24,6,5,264,1976,1976,115000
684,No,0,Unf,684,216,Unf,1930.0,1368,TA,3600,158,7,6,684,1910,1993,114504
840,No,0,Unf,840,379,Unf,1915.0,1605,TA,5790,0,6,3,840,1915,1950,107400
2020,No,1436,GLQ,570,900,Fin,2009.0,2020,Ex,12220,54,5,10,2006,2009,2009,402861
625,No,0,Unf,625,528,RFn,2006.0,1250,Gd,4251,54,5,7,625,2006,2007,164700
1624,No,1456,GLQ,168,757,RFn,1994.0,1624,Gd,12461,114,5,8,1624,1994,1995,262000
845,No,565,ALQ,280,360,Unf,1987.0,845,TA,7599,0,6,4,845,1982,2006,129500
1389,Av,1071,ALQ,195,418,RFn,1975.0,1389,TA,10010,38,5,5,1389,1974,1975,170000
968,No,0,Unf,968,480,Unf,1935.0,968,TA,8520,0,6,5,968,1923,2006,100000
546,No,0,Unf,546,286,Unf,1970.0,1092,TA,2001,0,5,4,546,1970,1970,75000
848,Av,685,GLQ,163,420,Fin,2003.0,848,Gd,4435,0,5,6,848,2003,2004,144000
1269,No,374,BLQ,363,308,Unf,1964.0,1269,TA,7931,0,6,5,1269,1960,1960,155000
1092,No,170,LwQ,252,288,Unf,1962.0,1092,TA,11616,20,5,5,1092,1962,1962,139000
1468,No,795,ALQ,0,539,Fin,1977.0,2263,Gd,16659,250,7,7,795,1977,1994,235000
952,No,228,ALQ,724,283,Unf,1956.0,952,TA,8475,0,7,4,952,1956,1956,135750
736,No,0,Unf,736,0,None,1979.0,1452,TA,4456,0,5,4,736,1920,2008,113000
